,gene,best_fit
4249,Nol5,other
4260,Nox1,other
4266,Npepl1,other
4271,Npy2r,other
4275,Nr1d2,other
4276,Nr1h2,other
4280,Nr3c1,other
4314,Nudcd1,other
4315,Nudcd2,other
4329,Nup62,other
4331,Nupl2,other
4345,OTTMUSG00000016644,other
4356,Ociad1,other
4362,Odz2,other
4373,Olfr538,other
4381,Orai1,other
4386,Osbp,other
4389,Osbpl3,other
4391,Osbpl7,other
4401,Otc,other
4412,P2rx7,other
4415,P2ry14,other
4419,P2ry6,other
4420,P42pop,other
4424,Paip2,other
4439,Paqr5,other
4452,Patl1,other
4453,Pbld,other
4456,Pbx3,other
4468,Pcdhb14,other
4471,Pcf11,other
4477,Pcm1,other
4486,Pcsk1,other
4494,Pcyt2,other
4495,Pdap1,other
4501,Pdcl3,other
4507,Pde6a,other
4511,Pdia4,other
4521,Pdss1,other
4524,Pdzd11,other
4527,Pdzd8,other
4530,Pdzrn4,other
4531,Pea15a,other
4541,Pex11a,other
4543,Pex2,other
4553,Pfn1,other
4563,Pgrmc2,other
4565,Phactr1,other
4593,Pign,other
4598,Pigyl,other
4604,Pik3cg,other
4607,Pik3r2,other
4613,Pip4k2b,other
4623,Pitx2,other
4632,Pkn3,other
4636,Pkp4,other
4638,Pla2g10,other
4647,Plagl2,other
4650,Plcb4,other
4651,Plce1,other
4660,Plek2,other
4663,Plekha3,other
4668,Plekhg2,other
4669,Plekhg3,other
4673,Plekho2,other
4675,Plk2,other
4681,Plp2,other
4684,Plscr2,other
4696,Pnck,other
4698,Pnliprp1,other
4700,Pnma2,other
4705,Pnpo,other
4710,Pof1b,other
4711,Pold1,other
4714,Pold4,other
4722,Polr1e,other
4724,Polr3h,other
4726,Pom121,other
4729,Pomt2,other
4731,Pop4,other
4732,Pop5,other
4734,Por,other
4738,Pou2f1,other
4743,Ppara,other
4745,Pparg,other
4746,Ppargc1a,other
4751,Ppil3,other
4758,Ppm1g,other
4764,Ppp1cc,other
4765,Ppp1r11,other
4766,Ppp1r12c,other
4771,Ppp1r1b,other
4779,Ppp2r1a,other
4789,Ppp4r2,other
4797,Prcp,other
4801,Prdx1,other
4810,Prkaa1,other
4811,Prkag2,other
4817,Prkch,other
4832,Prmt6,other
4842,Prpf40b,other
4844,Prph,other
4850,Prr5,other
4851,Prr8,other
4858,Psap,other
4863,Psenen,other
4868,Psmb3,other
4870,Psmb5,other
4876,Psmc3,other
