,gene,bimodal,expo,gamma,longtail,other,winner
268,2310022A10Rik,1.0,,,,2.0,other
269,2310022B05Rik,,4.0,,,1.0,expo
270,2310022K01Rik,,,1.0,,,gamma
271,2310022M17Rik,,,1.0,,,gamma
272,2310026L22Rik,,,1.0,,,gamma
273,2310028O11Rik,,,1.0,,,gamma
274,2310030G06Rik,,,1.0,,,gamma
275,2310033P09Rik,1.0,,5.0,1.0,7.0,other
276,2310034C09Rik,,,1.0,,,gamma
277,2310035K24Rik,,,1.0,,,gamma
278,2310036O22Rik,,2.0,3.0,,1.0,gamma
279,2310037I24Rik,,,4.0,,3.0,gamma
280,2310038H17Rik,,,,,3.0,other
281,2310039H08Rik,,2.0,1.0,,6.0,other
282,2310040C09Rik,,,1.0,,,gamma
283,2310043M15Rik,,,,,1.0,other
284,2310044G17Rik,,3.0,1.0,,1.0,expo
285,2310044H10Rik,1.0,1.0,,,3.0,other
286,2310045N01Rik,,1.0,,,,expo
287,2310047D13Rik,,2.0,3.0,,,gamma
288,2310047M10Rik,,,1.0,,4.0,other
289,2310051E17Rik,,,1.0,,,gamma
290,2310051N18Rik,,,,,1.0,other
291,2310056P07Rik,,4.0,,,,expo
292,2310061C15Rik,,1.0,3.0,,1.0,gamma
293,2310061F22Rik,,,1.0,,4.0,other
294,2310061J03Rik,,2.0,,,,expo
295,2310061N02Rik,,2.0,1.0,,,expo
296,2310065K24Rik,,1.0,,,,expo
297,2310079F23Rik,,,1.0,,,gamma
298,2310079N02Rik,,,,,1.0,other
299,2400003C14Rik,,1.0,,,3.0,other
300,2410001C21Rik,,,4.0,,3.0,gamma
301,2410002F23Rik,,,1.0,,5.0,other
302,2410002I01Rik,,,4.0,,,gamma
303,2410003L11Rik,,,1.0,,,gamma
304,2410003P15Rik,,,1.0,,3.0,other
305,2410004A20Rik,,3.0,,1.0,,expo
306,2410004B18Rik,,,4.0,,1.0,gamma
307,2410004L22Rik,,,2.0,,3.0,other
308,2410004P03Rik,,,1.0,,,gamma
309,2410006H16Rik,,,1.0,,,gamma
310,2410008K03Rik,1.0,,,,4.0,other
311,2410012H22Rik,,,,,1.0,other
312,2410014A08Rik,,,1.0,,,gamma
313,2410015M20Rik,,,1.0,,,gamma
314,2410016O06Rik,,1.0,,,,expo
315,2410018C17Rik,,,1.0,,,gamma
316,2410018G20Rik,,1.0,3.0,,1.0,gamma
317,2410018L13Rik,,5.0,,,,expo
318,2410022L05Rik,,,4.0,,,gamma
319,2410025L10Rik,,,4.0,,,gamma
320,2410042D21Rik,,,1.0,,,gamma
321,2410075B13Rik,1.0,,,,,bimodal
322,2410091C18Rik,,,,,5.0,other
323,2410127L17Rik,,,1.0,,,gamma
324,2410129H14Rik,,,4.0,,1.0,gamma
325,2410131K14Rik,,,,,4.0,other
326,2410146L05Rik,1.0,,,,,bimodal
327,2410166I05Rik,,3.0,,,1.0,expo
328,2500003M10Rik,,4.0,1.0,,3.0,expo
329,2500004C02Rik,,,,1.0,,longtail
330,2510002D24Rik,,1.0,,2.0,,longtail
331,2510003E04Rik,1.0,3.0,,,,expo
332,2510006D16Rik,,1.0,,,,expo
333,2510012J08Rik,,1.0,1.0,,3.0,other
334,2510048L02Rik,1.0,,2.0,,1.0,gamma
335,2510049J12Rik,,1.0,,,,expo
336,2600001M11Rik,,,,,2.0,other
337,2600006K01Rik,,,1.0,,,gamma
338,2600011E07Rik,1.0,,,,,bimodal
339,2610001J05Rik,,1.0,1.0,,2.0,other
340,2610002J02Rik,,,2.0,,,gamma
341,2610002M06Rik,1.0,3.0,2.0,,1.0,expo
342,2610005L07Rik,,,2.0,,,gamma
343,2610014I16Rik,,1.0,,,,expo
344,2610019E17Rik,,,2.0,,,gamma
345,2610020H08Rik,,2.0,1.0,,,expo
346,2610020O08Rik,,,2.0,,3.0,other
347,2610021K21Rik,,2.0,4.0,,,gamma
348,2610027C15Rik,,,2.0,,3.0,other
349,2610028A01Rik,,,2.0,,,gamma
350,2610029G23Rik,,2.0,,2.0,4.0,other
351,2610035D17Rik,,1.0,,,,expo
352,2610036L11Rik,,,1.0,,,gamma
353,2610044O15Rik,,,,,1.0,other
354,2610204K14Rik,1.0,,1.0,,3.0,other
