,gene,p,comp,f-test
226,Atp9a,0.055706723628211496,expo_gamma,ns
227,Atr,1.0,expo_gamma,ns
228,Atrip,0.22297860747535436,expo_gamma,ns
229,Atrx,0.2795858999304034,expo_gamma,ns
230,Atxn10,1.0,expo_gamma,ns
231,Atxn2,1.0,expo_gamma,ns
232,Atxn3,1.0,expo_gamma,ns
233,Atxn7l3,0.039489658365316704,expo_gamma,sig
234,Atxn7l3b,0.9999949161303902,expo_gamma,ns
235,Auh,0.9991158177439742,expo_gamma,ns
236,Avil,1.0,expo_gamma,ns
237,Avl9,0.16417913314536714,expo_gamma,ns
238,Avpi1,0.8376599186054071,expo_gamma,ns
239,Axin1,0.9926569250418237,expo_gamma,ns
240,Axin2,0.04144182210905922,expo_gamma,sig
241,Aym1,0.08126933144040227,expo_gamma,ns
242,Azi2,7.809918920387293e-05,expo_gamma,sig
243,B230219D22Rik,1.0,expo_gamma,ns
244,B230307C23Rik,1.0,expo_gamma,ns
245,B3galnt2,1.0,expo_gamma,ns
246,B3gnt2,1.0,expo_gamma,ns
247,B3gnt5,1.2540232021240882e-05,expo_gamma,sig
248,B4galnt1,0.9987403363248699,expo_gamma,ns
249,B4galnt4,1.0,expo_gamma,ns
250,B4galt3,0.5965344841432647,expo_gamma,ns
251,B4galt4,0.05917371721344089,expo_gamma,ns
252,B4gat1,1.0,expo_gamma,ns
253,BC003965,1.0,expo_gamma,ns
254,BC031181,1.0,expo_gamma,ns
255,Bace2,1.5087930904655877e-13,expo_gamma,sig
256,Bach1,0.015328734619632689,expo_gamma,sig
257,Bad,0.026136463856442416,expo_gamma,sig
258,Bag3,0.00020018535510646362,expo_gamma,sig
259,Bbs12,0.0006713915045912788,expo_gamma,sig
260,Bcas3,0.06972952014864109,expo_gamma,ns
261,Bckdhb,4.694903921187432e-08,expo_gamma,sig
262,Bcl10,1.0,expo_gamma,ns
263,Bcl2a1c,6.434428545532e-10,expo_gamma,sig
264,Bcl2a1d,7.971815306762053e-07,expo_gamma,sig
265,Bcl6,0.9957077472572734,expo_gamma,ns
266,Bcl7b,0.05984025592384745,expo_gamma,ns
267,Bcl9,1.0,expo_gamma,ns
268,Bclaf1,0.009960997409404704,expo_gamma,sig
269,Bcr,2.096090412351259e-08,expo_gamma,sig
270,Bcs1l,0.0005473192329584764,expo_gamma,sig
271,Bdh1,0.025513591327132268,expo_gamma,sig
272,Bet1,0.002517396902920299,expo_gamma,sig
273,Bet1l,0.12414760552711257,expo_gamma,ns
274,Bex2,0.14906736449400815,expo_gamma,ns
275,Bex3,1.0,expo_gamma,ns
276,Bhlhb9,0.0027666879491270446,expo_gamma,sig
277,Bhlhe40,0.9955175682943463,expo_gamma,ns
278,Bicdl1,1.0,expo_gamma,ns
279,Bicral,1.0,expo_gamma,ns
280,Bin1,0.13190150619729857,expo_gamma,ns
281,Birc2,0.740368130647511,expo_gamma,ns
282,Birc6,0.6956764409964076,expo_gamma,ns
283,Bivm,1.425146066713623e-07,expo_gamma,sig
284,Bloc1s1,0.13257492193653853,expo_gamma,ns
285,Bmp7,0.002042162482437271,expo_gamma,sig
286,Bod1l,0.9989491528614358,expo_gamma,ns
287,Bpgm,0.0,expo_gamma,sig
288,Bphl,0.999594783820917,expo_gamma,ns
289,Braf,0.0649267534671012,expo_gamma,ns
290,Brap,1.0,expo_gamma,ns
291,Brd7,0.032794896145253216,expo_gamma,sig
292,Bricd5,0.263695402908652,expo_gamma,ns
293,Brms1l,0.00044483432227448994,expo_gamma,sig
294,Brpf1,0.02029354133984751,expo_gamma,sig
295,Brpf3,0.00014330560202224785,expo_gamma,sig
296,Bsdc1,1.0,expo_gamma,ns
297,Btbd1,0.17825930626505726,expo_gamma,ns
298,Btbd2,0.7725818253114697,expo_gamma,ns
299,Btbd9,1.0,expo_gamma,ns
300,Btd,0.9999906215121764,expo_gamma,ns
301,Btf3l4,0.9998759324799782,expo_gamma,ns
302,Btg2,0.06189737921326277,expo_gamma,ns
303,Btg3,0.028594981201624292,expo_gamma,sig
304,Bud23,0.08787559421580371,expo_gamma,ns
305,Bud31,0.9977972334581023,expo_gamma,ns
306,Bysl,0.2963030579891167,expo_gamma,ns
307,Bzw2,1.0,expo_gamma,ns
308,C030006K11Rik,0.009591501785467305,expo_gamma,sig
309,C1galt1,0.676756386190096,expo_gamma,ns
310,C1qbp,0.05468642355033837,expo_gamma,ns
311,C2cd4c,0.12652735429504047,expo_gamma,ns
312,C9orf72,1.0,expo_gamma,ns
313,Cacna1d,0.18659544252184646,expo_gamma,ns
314,Cacna1g,0.18999201217933015,expo_gamma,ns
315,Cacnb3,1.0,expo_gamma,ns
316,Cactin,0.001329620672694043,expo_gamma,sig
317,Cacul1,0.2473498066596217,expo_gamma,ns
318,Cacybp,0.04883960163371304,expo_gamma,sig
319,Cadm1,0.007192894438335262,expo_gamma,sig
320,Calm2,0.9984864754957158,expo_gamma,ns
321,Calml4,1.0,expo_gamma,ns
322,Camk2n1,0.005309926930873621,expo_gamma,sig
323,Camp,1.1102230246251565e-16,expo_gamma,sig
324,Car1,1.0,expo_gamma,ns
325,Carm1,0.04374167038655563,expo_gamma,sig
326,Carmil2,0.13068243093061083,expo_gamma,ns
327,Cars,0.042331683403096676,expo_gamma,sig
