,gene,best_fit
3897,Ier2,other
3899,Ier5,other
3903,Iffo2,other
3908,Ifi30,other
3909,Ifi35,other
3910,Ifi47,other
3911,Ifih1,other
3929,Ift88,other
3932,Igf2bp3_1,other
3934,Igf2r,other
3935,Igf2r_1,other
3942,Igfbp5,other
3944,Igfbp7_2,other
3955,Igsf8,other
3957,Iigp1,other
3959,Ik,other
3970,Ikzf1,other
3980,Il17ra_1,other
3981,Il17rc,other
3999,Il4ra,other
4001,Il4ra_2,other
4002,Il6ra,other
4006,Il6st_2,other
4015,Ilkap,other
4016,Ilkap_1,other
4019,Immp2l,other
4022,Immt_2,other
4024,Impa2,other
4025,Impa2_1,other
4028,Impad1_1,other
4030,Impdh1,other
4041,Ino80_1,other
4042,Ino80c,other
4049,Inpp5d,other
4055,Inppl1,other
4056,Insig2,other
4057,Insig2_1,other
4058,Insl3,other
4059,Insl6,other
4060,Ints3,other
4063,Ints5_2,other
4064,Ints6_1,other
4065,Ints7,other
4067,Ints7_2,other
4068,Ints8,other
4070,Ip6k1,other
4071,Ip6k1_1,other
4073,Ipo11,other
4074,Ipo4,other
4086,Irak1,other
4087,Irak1_1,other
4098,Irf3_3,other
4101,Irf5_1,other
4103,Irf7,other
4111,Iscu,other
4113,Isoc1_2,other
4120,Itga2b,other
4121,Itga3,other
4127,Itga7,other
4130,Itgb1_3,other
4132,Itgb1bp1,other
4137,Itk_1,other
4147,Itpr1,other
4162,Jag2,other
4171,Jkamp_1,other
4172,Jmjd1c,other
4174,Jmy_2,other
4175,Jtb,other
4180,Kansl1,other
4182,Kansl1l_1,other
4189,Kat7_1,other
4193,Kcmf1,other
4195,Kcmf1_2,other
4198,Kcnb1,other
4204,Kcnn4_1,other
4205,Kcnq2_4,other
4207,Kctd11,other
4215,Kctd20_2,other
4217,Kctd9,other
4230,Kdm5c_1,other
4233,Kdm7a,other
4234,Keap1_1,other
4235,Khdrbs1_1,other
4242,Kif1b_4,other
4247,Kif23_1,other
4257,Kif3b_3,other
4258,Kif3c,other
4264,Kif5b_4,other
4265,Kifap3,other
4267,Kifc1,other
4273,Klc1_1,other
4295,Klf9_3,other
4300,Klhl2,other
4301,Klhl21,other
4304,Klhl25,other
4305,Klhl26,other
4306,Klhl42,other
4318,Kpna1_3,other
4324,Kpna4_1,other
4330,Kras_3,other
4337,Krtcap2,other
4338,Krtcap2_1,other
4345,LOC100135765,other
4347,LOC100502777 _1,other
4371,LOC102642137,other
