,gene,best_fit
3943,Pten,other
3946,Ptger4,other
3957,Ptp4a2,other
3960,Ptpn11,other
3973,Ptprk,other
3977,Pwwp2b,other
3987,Qrfp,other
3992,Rab10os,other
4000,Rab26,other
4016,Rab5if,other
4019,Rabepk,other
4024,Rac3,other
4025,Rad18,other
4027,Rad50,other
4040,Ranbp9,other
4041,Rangap1,other
4051,Rarg,other
4054,Rasd1,other
4055,Rasgrf1,other
4058,Rasl11a,other
4059,Rasl11b,other
4069,Rbm4,other
4070,Rbm48,other
4071,Rbm4b,other
4091,Relch,other
4099,Retsat,other
4102,Rflnb,other
4110,Rgl2,other
4120,Rhbdf2,other
4123,Rhebl1,other
4124,Rhob,other
4126,Rhoc,other
4127,Rhod,other
4132,Ric3,other
4134,Rida,other
4145,Rlim,other
4152,Rnd1,other
4157,Rnf122,other
4163,Rnf14,other
4169,Rnf181,other
4173,Rnf215,other
4177,Rnf32,other
4180,Rnf6,other
4191,Rpap1,other
4198,Rpl3-ps2,other
4207,Rprml,other
4212,Rps27l,other
4213,Rps27rt,other
4223,Rragc,other
4238,Rtkn2,other
4241,Rtn1,other
4242,Rtn2,other
4244,Rtn4,other
4249,Rubcnl,other
4254,Runx3,other
4273,Saal1,other
4275,Sae1,other
4289,Sart3,other
4295,Sbk1,other
4298,Scamp1,other
4301,Scarf2,other
4323,Sdc1,other
4334,Sec11c,other
4335,Sec13,other
4336,Sec14l5,other
4351,Selenoh,other
4354,Selenop,other
4366,Sephs1,other
4378,Serp1,other
4383,Serpina3h,other
4393,Serpinb6b,other
4396,Serpinb9b,other
4405,Sesn2,other
4414,Sfrp2,other
4421,Sgms2,other
4423,Sgtb,other
4427,Sh3bp1,other
4431,Sh3pxd2b,other
4438,Shisa3,other
4441,Shld1,other
4450,Siglecf,other
4458,Sirt4,other
4462,Six2,other
4480,Slc15a4,other
4482,Slc16a12,other
4490,Slc18a2,other
4502,Slc24a3,other
4507,Slc25a13,other
4509,Slc25a17,other
4515,Slc25a40,other
4516,Slc25a41,other
4518,Slc25a46,other
4521,Slc26a3,other
4531,Slc30a1,other
4541,Slc35d1,other
4543,Slc35d3,other
4551,Slc37a1,other
4572,Slc4a8,other
4573,Slc5a11,other
4580,Slc6a3,other
4598,Slpi,other
4614,Smtnl2,other
4624,Snf8,other
4641,Snx7,other
4648,Sort1,other
4650,Sostdc1,other
4659,Spaca5,other
4662,Sparc,other
4663,Spata13,other
4664,Spata31d1b,other
4665,Spata7,other
4683,Spred3,other
4708,Ssc4d,other
4716,St3gal1,other
4722,Stap2,other
4745,Stk38,other
4748,Stoml2,other
4754,Strn3,other
4763,Suclg1,other
4764,Suclg2,other
4771,Sumf2,other
4783,Swi5,other
4785,Syk,other
4797,Sypl,other
4801,Syt5,other
4816,Taf11,other
4819,Taf8,other
4824,Tamm41,other
4827,Taok3,other
4852,Tbl1xr1,other
4856,Tbx2,other
4865,Tcf12,other
4881,Tec,other
4882,Tecpr1,other
4890,Tesc,other
4894,Tex30,other
4899,Tfg,other
4905,Tgfa,other
4908,Tgif1,other
4909,Tgm1,other
4915,Themis,other
4918,Thoc2l,other
4932,Timp1,other
4935,Tiparp,other
4938,Tjp2,other
4942,Tle2,other
4943,Tle3,other
4947,Tln2,other
4949,Tlr4,other
4953,Tm6sf1,other
4964,Tmco1,other
4977,Tmem106a,other
4983,Tmem119,other
4986,Tmem121b,other
4995,Tmem141,other
4996,Tmem143,other
4999,Tmem14a,other
5001,Tmem151b,other
5005,Tmem159,other
5022,Tmem216,other
5029,Tmem250-ps,other
5053,Tmem71,other
5060,Tmf1,other
5062,Tmod4,other
5064,Tmprss7,other
5070,Tmx3,other
5075,Tnfaip6,other
5077,Tnfrsf10b,other
5089,Tnfsf13b,other
5097,Tnpo2,other
5106,Tor1a,other
5131,Traj45,other
5134,Tram1,other
5159,Trerf1,other
5161,Trgc2,other
5162,Trgc4,other
5164,Trgv2,other
5167,Triap1,other
5171,Trim16,other
5173,Trim26,other
5189,Trim71,other
5198,Trmt2b,other
5199,Trp53cor1,other
5200,Trp53i11,other
5210,Trpv2,other
5232,Ttc26,other
5233,Ttc28,other
5245,Tuba1a,other
5252,Tube1,other
5261,Txk,other
5262,Txlna,other
5272,Tyrobp,other
5274,U2af1,other
5279,Uba2,other
5288,Ubc,other
5294,Ube2m,other
5297,Ube4b,other
5302,Ubxn1,other
5306,Uchl5,other
5307,Uckl1os,other
5308,Ufc1,other
5309,Ufl1,other
5317,Ugt1a6a,other
5321,Unc119,other
5323,Unc13a,other
5331,Upp1,other
5334,Use1,other
5336,Uso1,other
5344,Usp43,other
5346,Usp5,other
5370,Vim,other
5384,Vps41,other
5385,Vps45,other
5388,Vsig2,other
5389,Vsir,other
5391,Vwa5a,other
5392,Vwa8,other
5393,Vwf,other
5394,Was,other
5409,Wdr6,other
5417,Wls,other
5424,Wsb1,other
5425,Wsb2-ps,other
5429,Wwp1,other
5432,Xbp1,other
5437,Xkr6,other
5442,Xntrpc,other
5450,Yif1b,other
5457,Ywhab,other
5460,Ywhah,other
5461,Zbed3,other
5465,Zbtb32,other
5466,Zbtb38,other
5470,Zc2hc1a,other
5480,Zcchc10,other
5481,Zcchc24,other
5483,Zdbf2,other
5486,Zdhhc16,other
5488,Zdhhc2,other
5492,Zfas1,other
5493,Zfc3h1,other
5504,Zfp239,other
5516,Zfp341,other
5517,Zfp354c,other
5540,Zfp639,other
5544,Zfp683,other
5555,Zfp870,other
5558,Zfp9,other
5563,Zfp941,other
5579,Zkscan3,other
5687,4930426D05Rik,other
5860,Add3,other
5864,Adgrg3,other
6147,Atp6v0b,other
6202,BC106179,other
6471,Cd34,other
6591,Chst11,other
6603,Cited2,other
6756,Cry2,other
6820,Cyp2b10,other
6889,Ddr2,other
7177,Epsti1,other
7191,Ern1,other
7255,Fam160a2,other
7377,Flrt3,other
7432,Fzd7,other
7450,Galc,other
7664,Gm15950,other
7692,Gm16998,other
7802,Gm9396,other
8112,Ier3,other
8127,Ifitm3,other
8138,Ift27,other
8171,Il1bos,other
8224,Ipcef1,other
8259,Itgam,other
8418,Lax1,other
8624,Mcpt1,other
8625,Mcpt2,other
8704,Mmp10,other
8810,Mx2,other
9007,Nr1h4,other
9128,Otud1,other
9227,Pde4a,other
