,gene,alpha,beta,rss,rmse,alpha_err,beta_err,model
3938,Mfsd9,85.29335608471318,14.923655663785514,0.0015676540295546302,0.017706801120217226,69954098.42090139,11968054.702507192,gamma
3939,Mgam,58.806628591893976,15.471306419391762,0.05311918219899535,0.11523799525221201,17786.149720671183,5269.710577202372,gamma
3940,Mgat3,84.58010466351216,14.166738639213513,0.295702301668456,0.2431881171720592,177143641.5559345,29655570.479652222,gamma
3941,Mgat4a,43.48275710934058,11.938577979852766,0.3160103691578117,0.28107399788926213,15979.161412366355,4844.981308191433,gamma
3942,Mgat4c,42.267883062386225,12.497214212382692,7.0118369440054e-05,0.004186835602219593,107192.32482979495,33764.182866936084,gamma
3943,Mgat5,275.50629906243,59.59804890185474,0.007968970445243839,0.04463454504429232,680509747837.7893,128925477889.83176,gamma
3944,Mgl1,72.23177093375278,5.956757408923729,0.23627162319072276,0.19844042900860817,21435890.197683413,1647579.9365025887,gamma
3945,Mgl2,,,,,,,gamma
3946,Mgp,1.7138796556310725,0.15393844725623565,0.14816517590489037,0.15714387033590713,1.4238141531592199,0.16155994484157704,gamma
3947,Mgrn1,1.0000000000000004,0.2995719144918144,0.1368258836160656,0.18494991458234417,2.1680027879899213,0.8639114236891903,gamma
3948,Mgst1,164.61749094200727,15.956970820943756,0.10681022791565531,0.14615760528665986,9656356498.31975,801197176.6762353,gamma
3949,Mgst3,252.5647004413406,54.63312847935382,0.17829236988890176,0.21112340578966,12350438128.640434,2339964580.78295,gamma
3950,Mia1,14.256209346221492,2.797935554652778,0.0015377722221539556,0.017537230238289944,12.329853860006889,2.7050792980879534,gamma
3951,Mia3,264.5821216853229,56.94242510095812,0.172220228842121,0.20749712578860038,40438721345.45907,7642682944.0,gamma
3952,Mical1,79.59364244060824,5.4284143591039085,0.8396463915831056,0.3740869755335662,35386.68439401106,2474.819671777613,gamma
3953,Mical2,45.03259775575015,12.540437943624726,0.016391311326430538,0.06401427834169213,11568.321222427909,3532.8336810114333,gamma
3954,Micalcl,1.422426618698721,0.24241406054112655,0.066424541300296,0.10521766431252248,2.2392134020469356,0.45613083415853034,gamma
3955,Micall2,9.028881973745053,2.112058537584081,0.03485324712919252,0.08349041517347068,11.49721592963436,3.204361870353552,gamma
3956,Mid1ip1,222.67435994225508,10.427588454274488,0.08564647303577626,0.11061288547760754,525368.024267205,24827.375248374512,gamma
3957,Mid2,4.195684371332908,0.5678277957528955,0.05099553885175651,0.10099063209204755,4.704512997815785,0.7337251101800428,gamma
3958,Midn,85.32917242224055,15.028199278312364,0.06106556236947212,0.10088406082352828,24153610.41495324,4145762.9083591816,gamma
3959,Mier3,6.236435165416104,1.269711412249937,0.008145151927797824,0.040361248562941716,8.428133884860815,1.6670683820425232,gamma
3960,Mif,27.26435566315543,6.049065055791239,0.011150801907524892,0.04722457391554717,17.232333382236984,3.5615491539491826,gamma
3961,Mina,38.555514773855876,11.270891777723389,0.018066024470860188,0.06720495605024265,24720.991728412904,7744.725547445773,gamma
3962,Mir16,1.000000000000058,0.2202567875268104,0.1373045149901922,0.18527311933345336,0.43831971381005297,0.1558054132778958,gamma
3963,Mki67,46.70603193606451,13.026294810626606,0.023779588547655085,0.07710315905923551,25408.09709372379,7764.41188536747,gamma
3964,Mki67ip,90.93002501886502,6.274857149586397,0.45753421705260333,0.2761443514578934,37124.14528012675,2611.0500930239773,gamma
3965,Mkks,5.674106104984755,0.5784837268985106,0.8080941199099417,0.36699094446365244,11.617397222963731,1.1717437929916878,gamma
3966,Mknk1,90.15762576904267,22.680798651004995,0.062238115612798704,0.1247378407028103,108065.87792762829,31247.834705772926,gamma
3967,Mknk2,52.723927750479234,14.443218044089804,0.018392535276085867,0.0678095407669265,58650.260417431185,17750.538548984267,gamma
3968,Mkrn3,1.0000000000000002,0.12531256446067754,0.04405405258946445,0.07933117977320901,0.8440242530612911,0.11755945652415715,gamma
3969,Mks1,1.8586669485693479,0.3106854450300562,0.29020409583778434,0.24091662285437437,4.044523352418354,0.8429121433319163,gamma
3970,Mkx,72.09848431447683,11.604518230464098,0.018752929642761162,0.061242027469314175,28882073.363614168,4741167.515596126,gamma
