,gene,best_fit
1431,Col15a1,other
1435,Col6a2,other
1436,Col7a1,other
1439,Commd10,other
1446,Copg.2,other
1447,Copg2,other
1451,Cops4.1,other
1454,Copz1,other
1460,Coq5.1,other
1464,Cova1,other
1466,Cox15,other
1468,Cox18,other
1475,Cpeb3.1,other
1476,Cpne1,other
1480,Cpsf1.1,other
1481,Cpsf3l,other
1482,Cpsf4,other
1483,Cpt2,other
1487,Crbn.1,other
1491,Creb3.1,other
1493,Creb3l2.1,other
1495,Crebbp,other
1497,Crebl1,other
1500,Crhbp,other
1501,Cript.1,other
1503,Crkrs.1,other
1508,Crocc,other
1509,Crtam,other
1519,Csmd3,other
1531,Csrp1,other
1540,Ctdsp1.2,other
1542,Ctdspl2.1,other
1544,Ctf1,other
1546,Ctla2a,other
1547,Ctla4,other
1550,Ctnnb1.2,other
1552,Ctr9,other
1558,Ctss,other
1564,Cuedc2,other
1565,Cugbp1.2,other
1566,Cugbp1.3,other
1569,Cux1.2,other
1570,Cux1.4,other
1573,Cwf19l1.1,other
1574,Cxcl16,other
1575,Cxcr3,other
1581,Cyb561d2,other
1583,Cyb5r3.1,other
1584,Cyb5r4,other
1588,Cyfip1,other
1589,Cyfip2,other
1593,Cyp4f16,other
1598,Cysltr2,other
1600,D030070L09Rik,other
1616,D19Ertd721e,other
1624,D330028D13Rik,other
1631,D430042O09Rik,other
1634,D530033C11Rik,other
1635,D5Ertd40e,other
1638,D6Wsu163e.2,other
1641,D8Ertd738e,other
1643,D930014E17Rik,other
1644,D930015E06Rik,other
1649,Dap,other
1654,Dapk1,other
1657,Dapk3,other
1661,Dbi.1,other
1662,Dbi.2,other
1665,Dbt.2,other
1667,Dclre1b,other
1668,Dclre1c.2,other
1669,Dcn.1,other
1670,Dcp1a.1,other
1671,Dcp1a.2,other
1674,Dcps.1,other
1676,Dctn2.1,other
1677,Dctn2.2,other
1679,Dctn3.1,other
1682,Dcun1d4,other
1683,Dcun1d4.1,other
1690,Ddefl1,other
1692,Ddi2,other
1694,Ddit3.1,other
1695,Ddit4l,other
1697,Ddx21.1,other
1704,Ddx49,other
1706,Ddx50,other
1707,Ddx50.1,other
1708,Ddx51.2,other
1709,Ddx52,other
1710,Ddx54.1,other
1713,Defb30,other
1719,Denr,other
1720,Denr.1,other
1726,Dfnb59,other
1735,Dhodh,other
1736,Dhps,other
1737,Dhrs1,other
1739,Dhrsx,other
1740,Dhrsx.1,other
1741,Dhx15,other
1742,Dhx29.1,other
1743,Dhx30,other
1744,Dhx38,other
1747,Dhx8,other
1751,Dip2b,other
1758,Dlgap1.2,other
1772,Dnahc11,other
1774,Dnajb1,other
1776,Dnajb4.1,other
1779,Dnajc10,other
1780,Dnajc12,other
1781,Dnajc12.2,other
1784,Dnajc3a.1,other
1788,Dnase1l1,other
1791,Dnase2a,other
1792,Dnd1,other
1793,Dnmt1,other
1802,Dolpp1.1,other
1803,Dom3z,other
1804,Dom3z.1,other
1807,Dph2,other
1808,Dph2.1,other
1809,Dph2.2,other
1811,Dph3.1,other
1813,Dpm1,other
1816,Dpp9.1,other
1819,Dppa5.1,other
1822,Drd2,other
1826,Dscr3.1,other
1827,Dscr3.2,other
1836,Dtx2,other
1844,Dus3l.2,other
1845,Dus4l,other
1846,Dusp10,other
1847,Dusp10.1,other
1849,Dusp19,other
1857,Dusp7,other
1859,Dvl2,other
1861,Dync1li2,other
